Heading,NewsType
sindh govt decides to cut public transport fares by 7pc kti rej,business
asia stocks up in new year trad,business
hong kong stocks open 0.66 percent lower,business
asian stocks sink euro near nine year ,business
us oil prices slip below 50 a barr,business
oil hits new 5.5 year lows as saudis defend ,business
bullish kse jumps over 33000 psychological barrier,business
oil falls further in asian trad,business
sugar prices drop to rs 49.80 in sind,business
oil extends losses as world bank cuts growth for,business
tokyo stocks open 0.74 percent lower,business
hong kong stocks open 0.24 percent higher,business
oil market rebounds on iea repor,business
govt may take up to ten days to overcome petrol shortag,business
brent crude steady around 50,business
report presented to pm holds ogra responsible for fuel crisi,business
notification issued for reduction in electricity charges for karachi nepr,business
asia stocks mostly higher ahead of ecb meeting,business
ecc approves export of 1.2 million tons of ,business
new saudi king seen holding line on opec policy to keep oil output hig,business
nepra prevents k electric from collecting meter r,business
finance minister apprised on pak brunei investment ,business
pakistan fuel crisis weighing on credit worthiness moody,business
petrol price expected to be slashed by rs 10 per litr,business
euro maintains gains asia stocks adv,business
oil rebounds sharply from six year lows as dollar ,business
sbp warns islamic banks to be more equitab,business
oil slumps as us crude reserves surge to record hig,business
finance minister announces five percent increase in gst on pol produ,business
us probes moodys rating agency,business
oil prices slide after rally,business
no unannounced load shedding anywhere in the country abid sher ali,business
oil prices extend ,business
pak imf talks conclude agreement for release of 518 milli,business
final shipment of 15 chinese engines arrives at karachi por,business
oil extends gains before us jobs d,business
contract for 650mw supply to k electric cannot be renewed ministry,business
tokyo stocks open up 1.09 per,business
january 2015 saw record sale of petrol in paki,business
oil prices extend gai,business
hsbc admits swiss bank failings over client tax,business
oil prices fall as iea predicts weak rebound,business
intra kashmir trade resumes after six day,business
pakistan wants early implementation of tapi project ,business
hotel prices skyrocket in australia ahead of world cu,business
nokia 215 dual sim launched in paki,business
cnic number now tax number only companies allowed ntn dar,business
govt imposes new taxes of rs4 billi,business
oil prices rise in asian trad,business
oil prices extend gai,business
furnace oil price rises by about rs 2000 per ,business
nepra notifies relief of rs 3.24 per unit for consumer,business
qatargas pakistan close to 15 year lng supply d,business
asia stocks boosted by greek debt deal ,business
operation zarb e azb may cost over 1.3 billion dar,business
oil prices fall on eve of us inventory d,business
apple to begin manufacturing electric vehicles as early as 2020,business
oil prices fall in new yor,business
lng import to begin from march 31 abbasi,business
oil prices extend slid,business
price of sugar decreases in karachi,business
oil prices rebound slightly,business
tokyo stocks open f,business
pol prices likely to go up from march 1,business
oil rebounds after volatile ,business
tajikistan to help pakistan overcome energy crisis through kasa 1000 proj,business
oil market recoils on oversupply,business
hong kong stocks open 0.70 percent higher,business
bill gates still the richest man in the world,business
pact with k electric expired govt not bound to provide power asif,business
oil prices rise before us jobs d,business
bahria town kelectric ink agreement on power plants for karachi,business
security situation integral in economic survey of pakistan imf,business
fbr moves to widen tax net but big fish yet to be caug,business
dollar at 12 year peak vs euro emerging markets spooked,business
cng stations in sindh to remain shut on thursday,business
oil market adv,business
pakistans economy improving imf,business
oil market drops on iea price warning,business
ecc approves allocation of 75pc gas from tapi to sng,business
us oil price hits six year ,business
further cut in sbp policy rate expected,business
us oil price nears six year ,business
pay raise for railways employees on card,business
stocks tumble as kse 100 share index drops 817 poi,business
oil prices extend losses in asi,business
dollar pressured after fed tempers interest rate ,business
sbp announces monetary policy 13 year low interest r,business
oil drops as saudi output nears record china demand worries drag,business
moodys upgrades pakistan bond rating,business
oil prices mixed in asia before us stockpiles d,business
first qatar lng shipment reaches karachi por,business
asian markets follow wall st lower after us d,business
oil drops after yemen inspired gai,business
free fall continues as kse 100 plummets 1000 poi,business
oil prices drop on weak demand potential iran d,business
petrol price goes up by rs 4 for apri,business
stock market regains 1100 points to recover from previous days plung,business
petrol price increased by rs 4 for the month of apri,business
china to invest in pakistans oil and gas sector,business
imf disburses 500mn loan tranche to paki,business
oil prices down in thin asian trad,business
haier mobile phones to launch in pakistan on april 9,business
global oil prices fall as iran nuclear framework reached,business
oil up more than 1 after saudis asia price hi,business
oil prices slip after iran fuelled rally,business
asian shares rise hong kong at seven year hig,business
nepra approves rs4.42 per unit decr,business
oil prices edge higher,business
govt gets 1.6 bn offer for its equity holding in hb,business
dar reviews supply of lng to three power plants in punjab,business
pakistan remittances initiative scheme receives overwhelming response dar,business
asia shares mostly up china data disappoi,business
lending to private sector falls 36pc in july apri,business
oil climbs for 5th day as us output edges lower,business
china offering pakistan huge financing chinese assistant foreign minister,business
asian stocks follow wall street higher,business
oil prices mixed after china stimulus mov,business
37 bn is pure chinese investment while remaining are soft loans ahsan iqb,business
most asian markets up tokyo at 15 year hig,business
oil falls as saudi led military strikes end in y,business
cm shahbaz hold talks with china machinery engineering corporation on energy mining sector,business
power generation up by 1500 mw minister for water and power,business
asian stocks mostly up after record on wall ,business
goods transport by cargo trains goes up 10 ti,business
petrol diesel prices expected to decrease from may 1,business
promotion of agriculture govts top priority finance minister,business
tokyo stocks open 0.49 percent higher,business
petrol diesel prices likely to be slashed from may 01,business
asian stocks dollar retreat ahead of fed meeting,business
maxus awarded nestle digital media planning buying accou,business
no change in petroleum prices next month dar,business
hopes and fears as milan expo opens door,business
oil prices firm after strong apri,business
gulf oil exporters should cut spending diversify imf,business
sp raises pakistans outlook forecasts higher gr,business
moratorium on kasb bank lifted amalgamated with bankislami,business
asian shares down as wall st tumbles on poor d,business
tokyo stocks open 0.90 pc lower,business
tokyo stocks open up 0.12 per,business
imf pakistan to hold final round of review on monday,business
pakistan to receive 7th tranche of imf bailout package by ju,business
gwadar port starts operations for commercial expor,business
kse 100 index sees sharp decline of over 1000 poi,business
adb to finance 6 billion in pakistan infrastructure proj,business
global oil prices shoot higher,business
oil prices edge ahead,business
cut in tax rate to bring positive impact on govt revenue zong ,business
us oil production important amid clean energy transition ob,business
budget to be presented on june 5 finance minister,business
china pm on brazil visit promising big inv,business
oil prices drop as saudis keep pumps running,business
senate passes gas infrastructure development cess bill amid pr,business
oil prices rebound from steep div,business
china brazil unveil multibillion trade investment d,business
pol prices expected to increase in ju,business
nepra approves rs1.75 per unit cut in k electric tariff,business
state bank cuts interest rate by 1 per,business
asia stocks extend gains tokyo lifted by weak y,business
cabinet approves budget strategy paper sour,business
oil market rebounds slightly,business
oil prices up in asian trad,business
petrol expected to increase by rs 6.19,business
despite govt announcement cng stations yet to reopen in punjab,business
nec approves rs 1.514 trillion for dev,business
sindh set to present rs700 bn budget on june 12,business
nepra approves electricity price decr,business
pm reviews power petroleum supply ahead of ramaz,business
pakistan economic survey growth target for 2014 15 missed,business
economic growth was 4.2 percent economic survey 2014 15,business
rs 4.313 trillion federal budget unveiled,business
ishaq dar says budget is poor friendly,business
oil down after opec meeting eyes on iran ,business
gulf expat workers send home 100 billion repor,business
moodys upgrades pakistans credit rating to b3,business
punjab govt presents rs 1.45tr budg,business
tokyo stocks open 0.24 percent higher,business
rs739 billion sindh budget presented,business
tax rate in sindh lowest among all other provinces murad ,business
rs488bn budget presented in kp assembly,business
us firm to set up 6000mw gas based power ,business
broadband penetration jumps to 8.34 per cent in paki,business
nisab i zakat deduction fixed at rs33641,business
rs243bn budget presented in balochistan assembly,business
pia slashes fares for domestic travel during ramaz,business
asia markets mostly lower dollar hit by dovish fed,business
world bank approves 188m for paki,business
cng stations to remain shut on 2nd consecutive day tuesday,business
oil prices rise with focus on greece ir,business
foreign exchange reserves exceed 18.20 b,business
rs 31.921 bn budget presented in gb legislative assembly,business
caa suspends air indus operations from july 1,business
president mamnoon signs finance bill 2015 16,business
asia markets rebound shanghai sees more volatility,business
shc dismisses caa suspension of air indus operati,business
greece defaults on imf deb,business
oil prices drop amid high us outpu,business
pakistan features among worlds top ten stock market performer,business
china stock market freezing up as sell off gathers ,business
imf lowers 2015 global growth forecast to 3.3%,business
govt agrees to bring down bank transaction tax to 0.3,business
fraudulent akd ppl deal caused exchequer rs500 mn loss sbr,business
jubilee general insurance standard chartered bank pakistan limited distribution agr,business
euro lifts as hopes mount for greek crisis resoluti,business
oil prices rise on china gr,business
pr slashes fares by 30pc for all passenger trains on eid,business
electricity prices likely to down by rs3.29 per uni,business
euro climbs on optimism for greek d,business
work to begin soon on iran pakistan pipeline abbasi,business
oil prices drop as dollar firms on greek bailout d,business
oil prices finish higher after iran d,business
inflation falls to decade low according to sbp report of july march fy15,business
fuel adjustment nepra cuts power tariff by rs2.68 per uni,business
google propels nasdaq to another record high ,business
gold prices shed rs800 to fall to new record ,business
asian shares mixed dollar pushes higher,business
oil dips on glut concerns as iran exports ,business
gold slides towards 5 year ,business
dollar takes breather after strong rally,business
oil prices mixed in asia wti stays below 50,business
asia markets mostly down shanghai up a 7th straight day,business
sbp maintains discount r,business
oil prices fall on oversupply worri,business
pakistan gets 336m to support forces in afghani,business
asian markets sink as shanghai falls further,business
microsoft rolls out windows 10 bid to revive gr,business
asian markets mostly recover from hefty sell off,business
govt decides to cut pol pri,business
caa revises airport charg,business
pakistans japanese dominated car market poised for new entr,business
pak iran gas pipeline project will not benefit from nuclear d,business
eu announces free trade deal with vietnam in princi,business
gold struggles near multi year ,business
one million digital paid subscriptions for nyt jump in quarterly profi,business
gas supply to punjab cng stations to be restored,business
fbr targets 1.05 million income tax returns in 2015,business
oil prices fall on oversupply fear,business
fbr announces deadlines for filing tax retur,business
china weakens yuan amid economic and reform b,business
oil prices down in asian trad,business
fbr makes e filing must for salaried per,business
oil prices slide to fresh lows in asian trad,business
asian shares mixed in muted trade after wall st rally,business
cng stations in sindh to remain closed for three days per ,business
oil prices slide further in asi,business
buzzfeed gets 200m expansion cash with nbcuniversal tie u,business
oil prices fall ahead of us stocks d,business
oil approaches key 40 lev,business
fbr initiates drive to ensure tax return filing by vehicle owner,business
rupee hits 104 at open market sbp warns money changer,business
investments heat up online news sector,business
dollar reaches 17 month high against ru,business
shanghai leads rout in asian ,business
kse down 1419 points at closing,business
crude extends losses us oil trades below 40,business
pak rupee to remain stable sb,business
adb announces new 1.2 bn annual package for paki,business
shanghai stocks slump defying bounce in asian shar,business
commodities recover ground after china led rou,business
asian shares wobble after china rate cu,business
agreement signed to form pakistan stock exchang,business
oil prices up in asian trad,business
dr. lodhi highlights pakistans investor friendly policies rings nasdaq opening b,business
ogra recommends petroleum ministry to slash pol pri,business
asian stocks up for second day on us gr,business
hksca hosts luncheon in honor of visiting rcci delegation in hou,business
traders warn of protest movement against withholding tax,business
petrol shortage in several parts of paki,business
cng price slashed by rs4 per kg,business
onion prices shoot up after indiabangladesh place import order,business
strike piles up trade cargoes prolonged stand off feared,business
oil prices swing wildly in china uncertainty,business
sindh traders to observe shutter down strike over withholding tax on sep 9,business
japan iran to start investment talks next ,business
kse 100 plummets over 1000 points in intra day trading,business
oil prices down in asian trad,business
dairy farmers association splits into two factions over milk price hi,business
oil prices mixed after weak chinese trade d,business
cost of quaid e azam solar power project cut by rs2bn shahbaz,business
china pakistan set to sign cpec zone d,business
dubai property developers upbeat despite falling pri,business
withholding tax traders businessmen observing strike today,business
oil prices up in asian trad,business
pm nawaz orders audit of nandipur power proj,business
asian markets retreat as china fed feed cauti,business
pm nawaz underscores need for enhancing expor,business
asia markets calm after tough week but us rates in focu,business
state bank announces monetary policy,business
nab files another rental power reference against raja pervez ashraf,business
shahid khaqan says gas from sindh not being directed anywher,business
oil prices mixed in asian trad,business
pia offers 25pc discount on domestic tickets for eidul az,business
oil prices diverg,business
government stresses coal based power generati,business
oil falls ahead of fed decisi,business
seven power projects to reach financial close by year end minister,business
oil up in asia but oversupply weak demand weig,business
oil price rally reverses as dollar ticks higher,business
lpg price slashed by rs10 per kg irfan khokhar,business
asian stocks currencies sink after china factory d,business
most asia markets bounce from losses tokyo sinks on retur,business
oil prices ease in asi,business
karachiites spent rs30 billion on eid sacrifi,business
ogra recommends reducing pol pri,business
nepra makes consumers pay billions mor,business
finance minister announces pol prices to remain unchanged for ,business
deadline to file income tax extended till october 31,business
asia markets rebound glencore surges after cr,business
pakistans forex reserves highest ever at 20bn ishaq dar,business
fbr runs rs63 bn short of tax collection targ,business
pakistan korea ink 500 million framework agr,business
uae says to invest 35bn in clean energy by 2021,business
air france hr manager almost lynched in job cut pr,business
12 pacific countries seal huge free trade d,business
oil extends gains in asi,business
dar prevents sons undertaking business ventures in paki,business
chinese keen to invest in paki,business
oil prices sustain rally,business
imf apprised of privatisation plan for pia ,business
pakistans forex reserves climb to 20.05402 b,business
water short pakistani farmers test less thirsty way to grow ri,business
nepra announces advance tariff for khushab solar ,business
aptma punjab zone to observe black day tomorr,business
tariq bhatti replaces mohammad mehmood as md nandipur proj,business
oil prices fall before us inventory d,business
pakistan russia ink agreement to build karachi lahore gas pipeli,business
aptma chairman sees flexibility in govt over demand,business
pol prices expected to rise in november,business
oil retreats in asia as china slowdown weig,business
oil prices drop in asia on oversupply fear,business
pakistan to get 178 mn adb assistance on easy i,business
nepra approves rs2.88 per unit cut in power tariff for september,business
oil prices edged up after recent ,business
asian stocks advance on china rate cut us tech earning,business
eu lawmakers end mobile roaming charg,business
oil prices retreat in asi,business
dollar jumps to rs105.70 in open mar,business
pol prices likely to see major hike from nov 1,business
rupee sinks to fresh two year low against dollar,business
oil rally fizzles as fed rate hike comments boost dollar,business
futuretech brings iphone 6s iphone 6s plus to paki,business
lpg price up by rs 8 per kg,business
asian stocks dollar retreat on weak chinese manufacturing d,business
oil prices up in asia ahead of us crude inventories repor,business
oil prices flat in asia on us data and supply concer,business
pakistan to receive 10th imf loan tranche in d,business
dollar steady as fed chief keeps december rate rise in play,business
oil prices adv,business
pakistan finalises 15 year 16bn lng deal with qatar,business
moodys ups pakistan banking system outlook to stab,business
oil prices resume decline in asi,business
us dollar slips as aussie lifted by jobs d,business
oil prices under pressure in asi,business
